variable;vars;n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
codebook1.sample_size_new;1;178;313,2471910112359;250,607275129827798;249,0000;276,7916666666667;145,29480000;4,00;1663,0000000000000;1659,0000000000000;2,492889902379923;8,797533834132405;18,783809420271037
codebook1.sample_age_new;2;140;32,4775445387340;9,969695612871890;31,7005;31,5738368852412;10,85003745;13,92;68,9997611940298;55,0797611940298;0,741310291388850;0,370097290341317;0,842593066556690
codebook1.sample_sex_male;3;151;51,3009933774834;15,186451187597752;52,2800;51,6573553719008;13,90678800;2,00;95,0000000000000;93,0000000000000;-0,184745321243178;0,639467279111410;1,235855870615862
codebook1.sample_sex_female;4;151;48,3429139072848;15,104655687983708;48,0000;48,0481818181818;14,32191600;5,00;98,0000000000000;93,0000000000000;0,174727792751593;0,688291554434960;1,229199447259329
codebook1.sample_sex_nonbinary;5;3;0,7400000000000;0,242487113059643;0,7000;0,7400000000000;0,26686800;0,52;1,0000000000000;0,4800000000000;0,160468587938030;-2,333333333333333;0,140000000000000
codebook1.sample_sex_noresponse;6;12;1,5975000000000;1,456072706726119;1,0000;1,3870000000000;0,54856200;0,30;5,0000000000000;4,7000000000000;1,290056902069698;0,209785802785613;0,420331984593996
