variable;vars;n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
single_sample.sample_size_new;1;173;311,2601156069364;254,10205895486726;246,0000;273,5899280575539;151,225200;4,00;1663,0000000000000;1659,0000000000000;2,473277320461211;8,568571839586205;19,319021798903027
single_sample.sample_age_new;2;136;32,1397215839909;9,81617232227928;31,4515;31,2830239195183;10,793328;13,92;68,9997611940298;55,0797611940298;0,755271105162112;0,510697432381255;0,841729832392976
