variable;vars;n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
codebook2.item_number;1;150;5,40666666666667;6,03468349805524;4;4,18333333333333;1,4826;1;54;53;4,970008357407762;31,03477989440093;0,492729844314307
codebook2.factors;2;7;2,14285714285714;1,34518541826910;2;2,14285714285714;1,4826;1;4;3;0,488674402046313;-1,73870767143422;0,508432297715777
