variable;vars;n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
codebook1.reliability_alpha_studypaper_new;1;10;0,8767;0,0775099276795488;0,904;0,88475;0,0511497000000000;0,72;0,969;0,249;-0,724357656759915;-0,865591886379872;0,0245107912742304
codebook1.reliability_composite_studypaper;2;5;0,9022;0,0724306564929519;0,930;0,90220;0,0563387999999999;0,79;0,968;0,178;-0,535505358741054;-1,660555808912462;0,0323919743146354
